Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
77,13,7,67,1,Some Random Commen with Id 77
78,13,7,180,9,Some Random Commen with Id 78
79,13,7,184,7,Some Random Commen with Id 79
80,13,7,129,0,Some Random Commen with Id 80
81,13,7,60,5,Some Random Commen with Id 81
82,13,7,119,2,Some Random Commen with Id 82
83,14,3,57,5,Some Random Commen with Id 83
84,14,3,94,5,Some Random Commen with Id 84
85,14,3,189,6,Some Random Commen with Id 85
86,14,3,163,0,Some Random Commen with Id 86
87,14,3,30,2,Some Random Commen with Id 87
88,14,3,167,3,Some Random Commen with Id 88
89,14,3,99,6,Some Random Commen with Id 89
90,14,3,75,7,Some Random Commen with Id 90
91,14,3,123,7,Some Random Commen with Id 91
92,15,3,139,2,Some Random Commen with Id 92
93,15,3,25,4,Some Random Commen with Id 93
94,15,3,149,9,Some Random Commen with Id 94
95,15,3,140,9,Some Random Commen with Id 95
96,15,3,134,2,Some Random Commen with Id 96
97,15,3,44,4,Some Random Commen with Id 97
98,16,7,46,1,Some Random Commen with Id 98
99,16,7,163,4,Some Random Commen with Id 99
100,16,7,181,1,Some Random Commen with Id 100
101,16,7,75,2,Some Random Commen with Id 101
102,16,7,148,8,Some Random Commen with Id 102
103,16,7,96,5,Some Random Commen with Id 103
104,17,8,125,3,Some Random Commen with Id 104
105,17,8,48,8,Some Random Commen with Id 105
106,17,8,141,0,Some Random Commen with Id 106
107,17,8,82,0,Some Random Commen with Id 107
108,17,8,184,7,Some Random Commen with Id 108
109,17,8,3,6,Some Random Commen with Id 109
110,17,8,158,9,Some Random Commen with Id 110
111,18,2,83,3,Some Random Commen with Id 111
112,18,2,121,5,Some Random Commen with Id 112
113,18,2,71,0,Some Random Commen with Id 113
114,19,7,49,9,Some Random Commen with Id 114
115,19,7,194,4,Some Random Commen with Id 115
116,19,7,39,3,Some Random Commen with Id 116
117,19,7,44,2,Some Random Commen with Id 117
118,19,7,29,4,Some Random Commen with Id 118
119,19,7,4,9,Some Random Commen with Id 119
120,19,7,47,6,Some Random Commen with Id 120
121,19,7,30,2,Some Random Commen with Id 121
122,21,4,26,9,Some Random Commen with Id 122
123,21,4,152,8,Some Random Commen with Id 123
124,21,4,168,9,Some Random Commen with Id 124
125,21,4,132,9,Some Random Commen with Id 125
126,21,4,109,3,Some Random Commen with Id 126
127,21,4,115,6,Some Random Commen with Id 127
128,21,4,34,9,Some Random Commen with Id 128
129,22,7,5,7,Some Random Commen with Id 129
130,22,7,130,4,Some Random Commen with Id 130
131,22,7,181,5,Some Random Commen with Id 131
132,22,7,106,1,Some Random Commen with Id 132
133,22,7,101,1,Some Random Commen with Id 133
134,22,7,91,4,Some Random Commen with Id 134
135,22,7,144,9,Some Random Commen with Id 135
136,22,7,67,6,Some Random Commen with Id 136
137,22,7,159,5,Some Random Commen with Id 137
138,23,8,161,0,Some Random Commen with Id 138
139,23,8,130,5,Some Random Commen with Id 139
140,23,8,96,9,Some Random Commen with Id 140
141,23,8,151,6,Some Random Commen with Id 141
142,23,8,180,4,Some Random Commen with Id 142
143,23,8,109,3,Some Random Commen with Id 143
144,23,8,158,8,Some Random Commen with Id 144
145,24,6,35,4,Some Random Commen with Id 145
146,24,6,182,5,Some Random Commen with Id 146
147,24,6,155,0,Some Random Commen with Id 147
148,24,6,19,3,Some Random Commen with Id 148
149,24,6,189,0,Some Random Commen with Id 149
150,24,6,109,8,Some Random Commen with Id 150
151,24,6,1,5,Some Random Commen with Id 151
152,26,9,191,7,Some Random Commen with Id 152
153,26,9,69,7,Some Random Commen with Id 153
154,27,9,89,7,Some Random Commen with Id 154
155,27,9,188,5,Some Random Commen with Id 155
156,27,9,13,1,Some Random Commen with Id 156
157,27,9,40,1,Some Random Commen with Id 157
158,27,9,34,5,Some Random Commen with Id 158
159,27,9,98,0,Some Random Commen with Id 159
160,27,9,68,6,Some Random Commen with Id 160
161,27,9,139,9,Some Random Commen with Id 161
162,28,8,101,0,Some Random Commen with Id 162
163,28,8,3,0,Some Random Commen with Id 163
164,30,2,176,2,Some Random Commen with Id 164
165,30,2,7,1,Some Random Commen with Id 165
166,30,2,21,0,Some Random Commen with Id 166
167,30,2,191,6,Some Random Commen with Id 167
168,30,2,35,0,Some Random Commen with Id 168
169,30,2,127,9,Some Random Commen with Id 169
170,30,2,80,5,Some Random Commen with Id 170
171,32,6,101,8,Some Random Commen with Id 171
172,32,6,40,2,Some Random Commen with Id 172
173,32,6,117,9,Some Random Commen with Id 173
174,32,6,64,0,Some Random Commen with Id 174
175,32,6,122,8,Some Random Commen with Id 175
176,32,6,172,6,Some Random Commen with Id 176
177,33,2,97,6,Some Random Commen with Id 177
178,33,2,19,8,Some Random Commen with Id 178
179,33,2,135,1,Some Random Commen with Id 179
180,33,2,105,0,Some Random Commen with Id 180
181,33,2,46,7,Some Random Commen with Id 181
182,34,6,66,6,Some Random Commen with Id 182
183,34,6,83,2,Some Random Commen with Id 183
184,34,6,104,7,Some Random Commen with Id 184
185,34,6,113,5,Some Random Commen with Id 185
186,34,6,188,3,Some Random Commen with Id 186
187,34,6,137,3,Some Random Commen with Id 187
188,34,6,129,0,Some Random Commen with Id 188
189,35,1,27,3,Some Random Commen with Id 189
190,35,1,107,3,Some Random Commen with Id 190
191,35,1,149,8,Some Random Commen with Id 191
192,35,1,5,2,Some Random Commen with Id 192
193,35,1,74,5,Some Random Commen with Id 193
194,35,1,75,9,Some Random Commen with Id 194
195,36,6,84,1,Some Random Commen with Id 195
196,36,6,115,2,Some Random Commen with Id 196
197,36,6,181,1,Some Random Commen with Id 197
198,36,6,65,6,Some Random Commen with Id 198
199,36,6,21,8,Some Random Commen with Id 199
200,36,6,116,6,Some Random Commen with Id 200
201,36,6,199,2,Some Random Commen with Id 201
202,36,6,52,3,Some Random Commen with Id 202
203,37,9,100,0,Some Random Commen with Id 203
204,37,9,152,0,Some Random Commen with Id 204
205,37,9,176,1,Some Random Commen with Id 205
206,37,9,25,2,Some Random Commen with Id 206
207,38,0,2,5,Some Random Commen with Id 207
208,38,0,122,5,Some Random Commen with Id 208
209,38,0,190,3,Some Random Commen with Id 209
210,38,0,39,1,Some Random Commen with Id 210
211,38,0,193,8,Some Random Commen with Id 211
212,38,0,19,8,Some Random Commen with Id 212
213,39,5,188,6,Some Random Commen with Id 213
214,39,5,91,5,Some Random Commen with Id 214
215,39,5,118,0,Some Random Commen with Id 215
216,39,5,178,7,Some Random Commen with Id 216
217,39,5,17,9,Some Random Commen with Id 217
218,39,5,15,2,Some Random Commen with Id 218
